Team,G,ERA,H,BB,K,SV,WHIP
Houston,103,3.60,777,304,984,33,1.18
Philadelphia,102,3.71,843,297,952,27,1.25
Atlanta,101,4.05,797,333,921,14,1.26
Toronto,103,4.09,821,321,917,31,1.25
LA Dodgers,103,4.28,854,365,908,30,1.32
NY Yankees,102,3.89,765,345,896,27,1.23
Detroit,104,3.79,835,300,891,28,1.23
Milwaukee,102,3.58,782,332,882,28,1.23
NY Mets,103,3.57,816,371,881,32,1.30
San Diego,103,3.63,785,341,874,35,1.24
San Francisco,103,3.60,827,328,873,26,1.27
Seattle,103,3.91,864,320,867,25,1.27
Minnesota,102,4.17,861,265,866,19,1.26
Arizona,103,4.58,893,330,866,28,1.33
Boston,104,3.79,866,337,865,27,1.29
Cleveland,102,3.92,834,365,855,29,1.32
Tampa Bay,103,3.85,815,287,854,23,1.20
Athletics,105,5.20,952,374,840,24,1.43
Cincinnati,103,3.91,808,323,837,24,1.24
Baltimore,102,4.98,934,340,834,25,1.42
Kansas City,103,3.50,810,303,833,29,1.22
Texas,103,3.16,771,289,827,27,1.16
LA Angels,103,4.67,917,398,806,23,1.44
Miami,101,4.48,863,316,791,25,1.31
Washington,102,5.20,923,342,777,20,1.41
Pittsburgh,103,3.84,802,297,776,21,1.21
St. Louis,104,4.23,903,280,766,25,1.29
Chi Cubs,102,3.86,841,272,764,24,1.22
Chi White Sox,103,4.08,857,378,751,13,1.38
Colorado,102,5.50,"1,050",350,670,18,1.57
